,0,1,2,8,9,10,12,13,15,18,21,22,23,28,29,33,35,36,37,38
0,-0.077318,-0.095928,-0.040074,-0.105934,-0.060409,-0.066250,-0.075647,-0.062776,-0.072648,-0.062602,-0.058694,-0.019319,-0.023859,-0.036075,-0.004313,-0.069864,-0.067465,-0.050029,-0.087980,-0.056338
1,-0.230070,-0.226110,-0.275864,-0.257876,-0.110849,-0.096126,-0.222219,-0.124091,-0.174640,-0.367260,-0.241077,-0.108983,-0.220165,-0.228172,-0.172146,-0.395031,-0.182737,-0.091585,-0.365303,-0.221066
2,0.015604,0.025728,0.117377,0.044188,-0.020764,-0.052315,-0.010501,-0.012629,-0.008111,0.078570,0.019162,-0.007762,0.033911,0.018267,0.093150,0.125196,-0.010074,-0.027746,0.035507,0.054338
3,-0.158004,-0.151302,-0.075887,-0.109532,-0.036808,-0.081591,-0.140249,-0.095903,-0.106398,-0.171503,-0.085595,-0.047743,-0.108433,-0.100788,0.013288,-0.130649,-0.139763,-0.077517,-0.153663,-0.074144
4,-0.135301,-0.132128,-0.156821,-0.144780,-0.069050,-0.024866,-0.116350,-0.072469,-0.096248,-0.223856,-0.126616,-0.014996,-0.113953,-0.136193,-0.094267,-0.222004,-0.102015,-0.045781,-0.236360,-0.100298
5,0.163199,0.177289,0.268934,0.104580,-0.009168,0.036881,0.159596,0.040248,0.109917,0.355123,0.185520,0.117401,0.231246,0.197967,0.167104,0.343645,0.148241,0.036130,0.261597,0.171778
6,-0.063183,-0.048902,-0.023127,-0.097449,-0.076850,-0.050768,-0.068467,-0.058333,-0.052227,-0.044172,-0.054488,-0.029436,-0.031603,-0.057122,-0.002940,-0.058535,-0.043349,-0.032434,-0.097382,-0.041155
7,-0.068834,-0.043678,0.016308,-0.054183,-0.026292,-0.060493,-0.073482,-0.044932,-0.051194,-0.049667,-0.038525,-0.013925,-0.030711,-0.036762,0.040479,-0.037059,-0.068798,-0.060399,-0.069508,-0.031505
8,0.075359,0.062931,0.220391,0.126957,0.044761,-0.036233,0.013164,0.010964,0.061490,0.205226,0.123224,0.026385,0.122677,0.126009,0.183993,0.278879,0.014429,-0.002092,0.190261,0.130260
9,-0.222070,-0.238391,-0.148000,-0.153168,-0.058862,-0.169175,-0.250666,-0.152328,-0.172703,-0.248276,-0.158284,-0.135264,-0.175240,-0.162841,-0.048553,-0.185792,-0.226507,-0.134222,-0.212160,-0.151883
10,-0.171458,-0.172709,-0.099515,-0.162381,-0.126708,-0.150849,-0.208536,-0.171484,-0.145193,-0.124325,-0.114363,-0.118005,-0.107419,-0.134496,-0.058499,-0.090317,-0.172071,-0.134039,-0.154450,-0.121214
11,0.049217,0.038945,0.153088,0.051070,-0.002209,-0.022610,0.003846,-0.006390,0.036971,0.163357,0.082194,0.019621,0.101809,0.083663,0.118023,0.215266,0.023617,0.000595,0.119539,0.104655
12,0.183499,0.193449,0.307464,0.139192,0.023465,0.032540,0.167687,0.039483,0.129873,0.385718,0.198039,0.088691,0.222502,0.223183,0.210408,0.397003,0.147781,0.023076,0.297534,0.193243
13,0.191775,0.201847,0.321744,0.170196,0.063966,0.047861,0.138216,0.081007,0.162261,0.388306,0.224112,0.114675,0.255634,0.241548,0.237259,0.407970,0.148248,0.066415,0.313940,0.211569
14,-0.064402,-0.067107,0.056512,-0.005873,0.001155,-0.098780,-0.095895,-0.066487,-0.045520,0.013696,0.010830,-0.027157,0.004360,-0.003532,0.086827,0.076440,-0.092443,-0.063288,0.023909,-0.001890
15,-0.276421,-0.279858,-0.265314,-0.253595,-0.138844,-0.176000,-0.299111,-0.188081,-0.202872,-0.364664,-0.232123,-0.154582,-0.241338,-0.255520,-0.151950,-0.330938,-0.266886,-0.146513,-0.347120,-0.222529
16,0.117685,0.117484,0.204262,0.080189,-0.049864,-0.018710,0.084573,0.009518,0.060044,0.310397,0.147491,0.071766,0.188655,0.118436,0.115637,0.315005,0.098329,0.021408,0.214951,0.138810
17,0.229812,0.235043,0.316261,0.167797,0.038581,0.075033,0.192483,0.082816,0.157027,0.444481,0.222655,0.148170,0.299245,0.244102,0.199132,0.417231,0.199624,0.078229,0.330737,0.226858
18,0.189227,0.189986,0.288208,0.144483,0.006297,0.017331,0.151542,0.041889,0.114860,0.415359,0.204380,0.108928,0.264034,0.199835,0.186766,0.400099,0.142740,0.036140,0.299312,0.206597
19,-0.028468,-0.031107,0.053341,-0.019835,-0.008685,-0.065870,-0.051177,-0.042728,-0.047595,0.051935,0.013525,0.012624,0.046878,0.000482,0.057428,0.059373,-0.031012,-0.035408,0.014654,0.018301
20,-0.201294,-0.211486,-0.099268,-0.079350,-0.038597,-0.141556,-0.188551,-0.105437,-0.144476,-0.187801,-0.109579,-0.084424,-0.108183,-0.167166,-0.037541,-0.114075,-0.192918,-0.084746,-0.138592,-0.090263
21,-0.173936,-0.175112,-0.150238,-0.158609,-0.147180,-0.133220,-0.146828,-0.137033,-0.142152,-0.145161,-0.118787,-0.072482,-0.099895,-0.180839,-0.127305,-0.135054,-0.153769,-0.096434,-0.171233,-0.113714
22,0.051895,0.052758,0.088785,0.003707,-0.045039,-0.014949,0.040234,-0.029372,0.003505,0.154530,0.050722,0.062514,0.093336,0.060854,0.054556,0.131010,0.033209,-0.031483,0.068987,0.083142
23,0.152507,0.158046,0.215634,0.095334,0.003349,0.027517,0.116630,0.035448,0.097073,0.335852,0.159867,0.119394,0.244093,0.147189,0.134940,0.300943,0.119626,0.042506,0.224173,0.165161
24,-0.067446,-0.068485,0.047810,-0.043643,-0.048838,-0.098226,-0.079937,-0.092837,-0.064313,0.011347,-0.009171,-0.052110,-0.021345,0.006407,0.098547,0.062150,-0.083221,-0.091862,-0.014863,0.000989
25,-0.151668,-0.174027,-0.082204,-0.052541,-0.021908,-0.118176,-0.163349,-0.090899,-0.113458,-0.180259,-0.109017,-0.090411,-0.128279,-0.117533,0.012305,-0.102843,-0.187670,-0.102600,-0.136614,-0.065076
26,-0.172786,-0.176378,-0.085679,-0.110944,-0.071676,-0.150882,-0.187055,-0.125089,-0.146040,-0.168829,-0.122973,-0.100510,-0.125027,-0.118383,-0.023074,-0.113704,-0.192578,-0.130662,-0.159892,-0.112032
27,-0.137115,-0.161046,-0.082774,-0.100974,-0.089346,-0.120509,-0.160367,-0.107163,-0.098335,-0.130248,-0.074579,-0.056561,-0.074450,-0.108851,-0.019162,-0.066536,-0.138529,-0.062177,-0.141805,-0.067048
28,0.017903,-0.028745,-0.079356,-0.085774,-0.028974,0.017194,-0.045971,-0.009509,0.003120,-0.081981,-0.020313,0.055405,-0.018655,0.037527,0.011994,-0.094502,0.007314,0.008129,-0.159272,0.001015
29,-0.211180,-0.215917,-0.170435,-0.195240,-0.089247,-0.133338,-0.201844,-0.152994,-0.166427,-0.254305,-0.159470,-0.110322,-0.178876,-0.142514,-0.041409,-0.229134,-0.199544,-0.141760,-0.247556,-0.146646
30,-0.192685,-0.223201,-0.184476,-0.116487,-0.018925,-0.103738,-0.201100,-0.092912,-0.142838,-0.299518,-0.163324,-0.088398,-0.182119,-0.158914,-0.045192,-0.241753,-0.213936,-0.094346,-0.243684,-0.121483
31,-0.106213,-0.097424,-0.005593,-0.060758,-0.029622,-0.101625,-0.123020,-0.075410,-0.077248,-0.083665,-0.042117,-0.036990,-0.051262,-0.041320,0.049663,-0.037679,-0.131418,-0.089110,-0.081271,-0.036835
32,-0.344286,-0.349346,-0.382764,-0.300557,-0.131416,-0.162076,-0.308293,-0.201986,-0.264190,-0.507844,-0.319595,-0.179490,-0.342134,-0.333650,-0.243054,-0.496804,-0.298195,-0.168011,-0.445617,-0.297008
33,0.150365,0.148982,0.267643,0.131264,0.025760,0.003877,0.123668,0.029804,0.089409,0.350927,0.190129,0.097267,0.222063,0.198835,0.195789,0.379587,0.114251,0.016020,0.275831,0.180653
34,-0.099816,-0.080437,-0.040906,-0.153886,-0.116826,-0.101321,-0.105099,-0.128767,-0.094428,-0.008204,-0.067375,-0.045345,-0.024624,-0.067002,-0.047471,-0.040011,-0.074250,-0.102325,-0.070962,-0.079972
35,-0.121264,-0.115583,-0.056912,-0.154665,-0.109797,-0.134312,-0.144419,-0.145189,-0.121987,-0.051990,-0.080278,-0.073765,-0.061139,-0.084528,-0.044665,-0.055641,-0.102277,-0.117766,-0.088116,-0.083265
36,-0.119648,-0.112118,-0.091129,-0.159907,-0.112553,-0.103593,-0.109900,-0.132365,-0.115319,-0.083907,-0.092476,-0.051757,-0.080310,-0.104149,-0.062817,-0.101188,-0.097605,-0.082416,-0.121197,-0.097549
